                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.52247,                0.67975,                0.99347,                0.98983,                0.97907,                0.99301,                0.89832,                0.42178,                0.72984,                0.88744,             0.00073579,             0.00073579,             0.00073579
                     51,                 0.5058,                0.67523,                0.98309,                 0.9827,                0.98548,                0.99284,                0.89398,                 0.4136,                0.72019,                0.89139,             0.00072164,             0.00072164,             0.00072164
                     52,                0.47041,                0.69094,                0.98165,                0.99364,                0.99306,                0.99395,                0.89776,                0.40789,                0.68954,                0.88957,              0.0007075,              0.0007075,              0.0007075
                     53,                0.45866,                0.66289,                0.96751,                  0.988,                0.99127,                0.99468,                0.91028,                0.40281,                0.65732,                0.88067,             0.00069335,             0.00069335,             0.00069335
                     54,                0.51122,                0.68474,                 1.0075,                0.98343,                0.99216,                0.99436,                0.91259,                0.40747,                0.65895,                0.88188,              0.0006792,              0.0006792,              0.0006792
                     55,                0.46986,                0.62722,                0.97033,                0.97885,                0.95108,                0.99165,                0.91179,                0.40208,                0.67965,                 0.8874,             0.00066506,             0.00066506,             0.00066506
                     56,                0.50417,                0.66465,                 1.0022,                0.97917,                0.93202,                0.98889,                0.90553,                0.40985,                0.71236,                  0.902,             0.00065091,             0.00065091,             0.00065091
                     57,                0.44967,                0.61023,                0.97157,                0.96609,                0.92669,                0.98618,                0.89848,                0.40793,                 0.7464,                0.89402,             0.00063676,             0.00063676,             0.00063676
                     58,                0.46004,                0.63169,                0.95696,                0.96021,                0.94737,                0.98905,                0.90509,                0.40738,                0.74156,                0.88879,             0.00062262,             0.00062262,             0.00062262
                     59,                0.48235,                0.68539,                 1.0173,                0.97378,                0.95487,                0.99064,                0.89762,                 0.4269,                0.73772,                0.89448,             0.00060847,             0.00060847,             0.00060847
                     60,                0.47318,                0.63374,                0.99269,                0.97441,                 0.9825,                0.99337,                0.90842,                0.41017,                0.69298,                0.88482,             0.00059432,             0.00059432,             0.00059432
                     61,                0.49723,                0.72515,                 1.0278,                0.98342,                0.98665,                0.99425,                   0.92,                0.38324,                0.64574,                0.86817,             0.00058017,             0.00058017,             0.00058017
                     62,                0.46033,                0.61681,                 0.9722,                0.99638,                      1,                  0.995,                0.92425,                0.35834,                0.60757,                0.85213,             0.00056603,             0.00056603,             0.00056603
                     63,                0.41094,                0.58628,                0.94324,                0.99709,                0.99921,                  0.995,                0.92793,                 0.3483,                0.59874,                0.84117,             0.00055188,             0.00055188,             0.00055188
                     64,                0.42635,                0.59689,                0.94916,                 0.9981,                0.99896,                  0.995,                0.93424,                 0.3356,                 0.6037,                0.83224,             0.00053773,             0.00053773,             0.00053773
                     65,                0.45692,                0.68885,                0.95899,                0.99786,                0.99955,                  0.995,                0.93685,                0.32868,                0.61099,                0.82669,             0.00052359,             0.00052359,             0.00052359
                     66,                0.45612,                0.63902,                0.95975,                 0.9979,                0.99944,                  0.995,                0.93993,                0.32996,                0.60344,                0.82716,             0.00050944,             0.00050944,             0.00050944
                     67,                0.44232,                0.62609,                0.95397,                0.99776,                0.99907,                  0.995,                 0.9395,                0.33227,                0.57817,                0.83269,             0.00049529,             0.00049529,             0.00049529
                     68,                0.46057,                0.56417,                0.95197,                0.99838,                0.99923,                  0.995,                 0.9363,                0.33085,                0.55725,                0.83416,             0.00048114,             0.00048114,             0.00048114
